TransactionID,UserID,ProductCategory,PaymentMethod,TransactionAmount,ShippingAddressChanged,IsHighRiskCountry,NumPrevTransactions,DeviceType,UsedVPN,SessionDuration,IsFraud
1,8270,Sports,Wallet,101.8,No,No,3,Mobile,Yes,400,No
2,1860,Beauty,Credit Card,49.05,No,No,63,Tablet,No,474.38,No
3,6390,Sports,Debit Card,55.47,No,No,47,Desktop,No,293.75,No
4,6191,Beauty,Net Banking,7.83,No,No,69,Mobile,No,314.1,No
5,6734,Sports,Wallet,3.2,No,No,82,Mobile,No,447.91,No
6,7265,Clothing,Net Banking,118.9,No,No,30,Desktop,No,187.37,No
7,1466,Beauty,Wallet,57.7,No,No,1,Desktop,No,189.89,No
8,5426,Electronics,Net Banking,80.34,Yes,Yes,42,Mobile,No,216.06,Yes
9,6578,Beauty,Debit Card,81.57,No,No,88,Desktop,Yes,303.71,No
10,9322,Clothing,Net Banking,32.49,No,No,40,Mobile,No,303.44,No
11,2685,Beauty,Credit Card,64.61,No,Yes,59,Mobile,No,244.67,No
12,1769,Sports,Net Banking,63.63,Yes,No,74,Tablet,No,269.95,No
13,7949,Sports,Wallet,49.17,No,No,45,Tablet,No,246.04,No
14,3433,Clothing,UPI,171.86,No,No,39,Desktop,No,250.82,No
15,6311,Home,Net Banking,60,No,No,58,Desktop,No,223.15,No
16,6051,Sports,Net Banking,92.54,No,No,44,Mobile,No,223.96,No
17,7420,Electronics,Net Banking,225.88,No,No,41,Tablet,No,99.91,No
18,2184,Clothing,Wallet,201.17,No,No,20,Desktop,No,277.63,No
19,5555,Beauty,Net Banking,221.11,No,No,2,Mobile,No,104.44,No
20,4385,Beauty,Wallet,31.47,Yes,No,65,Tablet,No,375.06,No
21,7396,Electronics,Wallet,3.56,No,No,10,Mobile,No,244.01,No
22,9666,Sports,UPI,30.25,No,No,23,Tablet,No,288.06,No
23,3558,Clothing,Credit Card,32.67,No,No,49,Mobile,Yes,262.68,No
24,8849,Electronics,Wallet,240.09,No,No,87,Tablet,No,275.59,No
25,3047,Sports,Debit Card,104.77,No,Yes,20,Mobile,No,426.34,No
